-BEGIN HEADER-,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,
Dates (month/day/year): 07/01/2023 through 07/31/2023 ,,,,,,,,,,
Location: Regional ,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,
Parameter(s): ,,,,,,,,,,
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,
-END HEADER-,,,,,,,,,,
LAT,LON,YEAR,DOY,WS10M_MAX,,knots,avg ,date,T,max
14.25,69.75,2023,182,9.72,,18.89580093,,,,
14.25,70.25,2023,182,9.41,,18.29315708,,,,
14.25,70.75,2023,182,9.13,,17.74883359,,,,
14.25,71.25,2023,182,9.09,,17.67107309,,,,
14.25,71.75,2023,182,8.87,,17.24339036,,,,
14.25,72.25,2023,182,8.63,,16.77682737,,,,
14.25,72.75,2023,182,8.29,,16.11586314,,,,
14.25,73.25,2023,182,7.81,,15.18273717,,,,
14.75,69.75,2023,182,10.18,,19.79004666,,,,
14.75,70.25,2023,182,9.84,,19.12908243,,,,
14.75,70.75,2023,182,9.49,,18.44867807,,,,
14.75,71.25,2023,182,9.41,,18.29315708,,,,
14.75,71.75,2023,182,9.24,,17.96267496,,,,
14.75,72.25,2023,182,8.99,,17.47667185,,,,
14.75,72.75,2023,182,8.61,,16.73794712,,,,
14.75,73.25,2023,182,7.92,,15.39657854,,,,
15.25,69.75,2023,182,10.4,,20.21772939,,,,
15.25,70.25,2023,182,10.09,,19.61508554,,,,
15.25,70.75,2023,182,9.74,,18.93468118,,,,
15.25,71.25,2023,182,9.55,,18.56531882,,,,
15.25,71.75,2023,182,9.35,,18.17651633,,,,
15.25,72.25,2023,182,9.08,,17.65163297,,,,
15.25,72.75,2023,182,8.69,,16.89346812,,,,
15.25,73.25,2023,182,7.91,,15.37713841,,,,
15.75,69.75,2023,182,10.54,,20.48989114,,,,
15.75,70.25,2023,182,10.26,,19.94556765,,,,
15.75,70.75,2023,182,9.92,,19.28460342,,,,
15.75,71.25,2023,182,9.64,,18.74027994,,,,
15.75,71.75,2023,182,9.28,,18.04043546,,,,
15.75,72.25,2023,182,8.97,,17.4377916,,,,
15.75,72.75,2023,182,8.5,,16.52410575,,,,
15.75,73.25,2023,182,7.72,,15.00777605,,,,
16.25,69.75,2023,182,10.68,,20.76205288,,,,
16.25,70.25,2023,182,10.39,,20.19828927,,,,
16.25,70.75,2023,182,10.01,,19.45956454,,,,
16.25,71.25,2023,182,9.62,,18.70139969,,,,
16.25,71.75,2023,182,9.19,,17.86547434,,,,
16.25,72.25,2023,182,8.79,,17.08786936,,,,
16.25,72.75,2023,182,8.19,,15.9214619,,,,
16.25,73.25,2023,182,7.41,,14.40513219,,,,
16.75,69.75,2023,182,10.64,,20.68429238,,,,
16.75,70.25,2023,182,10.37,,20.15940902,,,,
16.75,70.75,2023,182,10.04,,19.51788491,,,,
16.75,71.25,2023,182,9.66,,18.77916019,,,,
16.75,71.75,2023,182,9.21,,17.90435459,,,,
16.75,72.25,2023,182,8.82,,17.14618974,,,,
16.75,72.75,2023,182,8.13,,15.80482115,,,,
16.75,73.25,2023,182,7.38,,14.34681182,,,,
17.25,69.75,2023,182,10.51,,20.43157076,,,,
17.25,70.25,2023,182,10.28,,19.9844479,,,,
17.25,70.75,2023,182,10.03,,19.49844479,,,,
17.25,71.25,2023,182,9.78,,19.01244168,,,,
17.25,71.75,2023,182,9.36,,18.19595645,,,,
17.25,72.25,2023,182,9.03,,17.55443235,,,,
17.25,72.75,2023,182,8.27,,16.07698289,,,,
17.25,73.25,2023,182,7.5,,14.58009331,,,,
17.75,69.75,2023,182,10.32,,20.0622084,,,,
17.75,70.25,2023,182,10.15,,19.73172628,,,,
17.75,70.75,2023,182,9.97,,19.38180404,,,,
17.75,71.25,2023,182,9.77,,18.99300156,,,,
17.75,71.75,2023,182,9.45,,18.37091757,,,,
17.75,72.25,2023,182,9.17,,17.82659409,,,,
17.75,72.75,2023,182,8.36,,16.25194401,,,,
17.75,73.25,2023,182,7.55,,14.67729393,,,,
18.25,69.75,2023,182,9.99,,19.42068429,,,,
18.25,70.25,2023,182,9.9,,19.24572317,,,,
18.25,70.75,2023,182,9.81,,19.07076205,,,,
18.25,71.25,2023,182,9.67,,18.79860031,,,,
18.25,71.75,2023,182,9.43,,18.33203733,,,,
18.25,72.25,2023,182,9.2,,17.88491446,,,,
18.25,72.75,2023,182,8.44,,16.40746501,,,,
18.25,73.25,2023,182,7.77,,15.10497667,,,,
18.75,69.75,2023,182,9.77,,18.99300156,,,,
18.75,70.25,2023,182,9.72,,18.89580093,,,,
18.75,70.75,2023,182,9.67,,18.79860031,,,,
18.75,71.25,2023,182,9.58,,18.62363919,,,,
18.75,71.75,2023,182,9.46,,18.3903577,,,,
18.75,72.25,2023,182,9.35,,18.17651633,,,,
18.75,72.75,2023,182,8.77,,17.04898911,,,,
18.75,73.25,2023,182,8.31,,16.15474339,,,,
19.25,69.75,2023,182,9.79,,19.0318818,,,,
19.25,70.25,2023,182,9.75,,18.95412131,,,,
19.25,70.75,2023,182,9.69,,18.83748056,,,,
19.25,71.25,2023,182,9.63,,18.72083981,,,,
19.25,71.75,2023,182,9.62,,18.70139969,,,,
19.25,72.25,2023,182,9.5,,18.4681182,,,,
19.25,72.75,2023,182,9.08,,17.65163297,,,,
19.25,73.25,2023,182,8.88,,17.26283048,,,,
12.75,69.75,2023,183,11.28,,21.92846034,19.85409492,Jul-02,1,23.4059098
12.75,70.25,2023,183,11.09,,21.55909798,,,,
12.75,70.75,2023,183,10.78,,20.95645412,,,,
12.75,71.25,2023,183,10.48,,20.37325039,,,,
12.75,71.75,2023,183,10.43,,20.27604977,,,,
12.75,72.25,2023,183,10.4,,20.21772939,,,,
12.75,72.75,2023,183,10.26,,19.94556765,,,,
12.75,73.25,2023,183,9.9,,19.24572317,,,,
13.25,69.75,2023,183,11.7,,22.74494557,,,,
13.25,70.25,2023,183,11.37,,22.10342146,,,,
13.25,70.75,2023,183,10.95,,21.28693624,,,,
13.25,71.25,2023,183,10.55,,20.50933126,,,,
13.25,71.75,2023,183,10.34,,20.10108865,,,,
13.25,72.25,2023,183,10.2,,19.82892691,,,,
13.25,72.75,2023,183,10,,19.44012442,,,,
13.25,73.25,2023,183,9.64,,18.74027994,,,,
13.75,69.75,2023,183,11.96,,23.2503888,,,,
13.75,70.25,2023,183,11.55,,22.4533437,,,,
13.75,70.75,2023,183,11.09,,21.55909798,,,,
13.75,71.25,2023,183,10.68,,20.76205288,,,,
13.75,71.75,2023,183,10.38,,20.17884914,,,,
13.75,72.25,2023,183,10.16,,19.75116641,,,,
13.75,72.75,2023,183,9.92,,19.28460342,,,,
13.75,73.25,2023,183,9.53,,18.52643857,,,,
14.25,69.75,2023,183,12.04,,23.4059098,,,,
14.25,70.25,2023,183,11.6,,22.55054432,,,,
14.25,70.75,2023,183,11.13,,21.63685848,,,,
14.25,71.25,2023,183,10.78,,20.95645412,,,,
14.25,71.75,2023,183,10.48,,20.37325039,,,,
14.25,72.25,2023,183,10.19,,19.80948678,,,,
14.25,72.75,2023,183,9.87,,19.1874028,,,,
14.25,73.25,2023,183,9.42,,18.3125972,,,,
14.75,69.75,2023,183,11.94,,23.21150855,,,,
14.75,70.25,2023,183,11.48,,22.31726283,,,,
14.75,70.75,2023,183,11.03,,21.44245723,,,,
14.75,71.25,2023,183,10.69,,20.781493,,,,
14.75,71.75,2023,183,10.37,,20.15940902,,,,
14.75,72.25,2023,183,10.01,,19.45956454,,,,
14.75,72.75,2023,183,9.67,,18.79860031,,,,
14.75,73.25,2023,183,9.18,,17.84603421,,,,
15.25,69.75,2023,183,11.63,,22.6088647,,,,
15.25,70.25,2023,183,11.21,,21.79237947,,,,
15.25,70.75,2023,183,10.8,,20.99533437,,,,
15.25,71.25,2023,183,10.41,,20.23716952,,,,
15.25,71.75,2023,183,10.08,,19.59564541,,,,
15.25,72.25,2023,183,9.72,,18.89580093,,,,
15.25,72.75,2023,183,9.45,,18.37091757,,,,
15.25,73.25,2023,183,8.98,,17.45723173,,,,
15.75,69.75,2023,183,11.23,,21.83125972,,,,
15.75,70.25,2023,183,10.91,,21.20917574,,,,
15.75,70.75,2023,183,10.63,,20.66485226,,,,
15.75,71.25,2023,183,10.3,,20.02332815,,,,
15.75,71.75,2023,183,9.96,,19.36236392,,,,
15.75,72.25,2023,183,9.56,,18.58475894,,,,
15.75,72.75,2023,183,9.22,,17.92379471,,,,
15.75,73.25,2023,183,8.82,,17.14618974,,,,
16.25,69.75,2023,183,10.97,,21.32581649,,,,
16.25,70.25,2023,183,10.77,,20.937014,,,,
16.25,70.75,2023,183,10.58,,20.56765163,,,,
16.25,71.25,2023,183,10.39,,20.19828927,,,,
16.25,71.75,2023,183,10.02,,19.47900467,,,,
16.25,72.25,2023,183,9.53,,18.52643857,,,,
16.25,72.75,2023,183,9,,17.49611198,,,,
16.25,73.25,2023,183,8.65,,16.81570762,,,,
16.75,69.75,2023,183,10.94,,21.26749611,,,,
16.75,70.25,2023,183,10.8,,20.99533437,,,,
16.75,70.75,2023,183,10.63,,20.66485226,,,,
16.75,71.25,2023,183,10.49,,20.39269051,,,,
16.75,71.75,2023,183,10.09,,19.61508554,,,,
16.75,72.25,2023,183,9.55,,18.56531882,,,,
16.75,72.75,2023,183,8.95,,17.39891135,,,,
16.75,73.25,2023,183,8.64,,16.7962675,,,,
17.25,69.75,2023,183,11,,21.38413686,,,,
17.25,70.25,2023,183,10.91,,21.20917574,,,,
17.25,70.75,2023,183,10.77,,20.937014,,,,
17.25,71.25,2023,183,10.6,,20.60653188,,,,
17.25,71.75,2023,183,10.15,,19.73172628,,,,
17.25,72.25,2023,183,9.6,,18.66251944,,,,
17.25,72.75,2023,183,8.93,,17.3600311,,,,
17.25,73.25,2023,183,8.59,,16.69906687,,,,
17.75,69.75,2023,183,11.02,,21.42301711,,,,
17.75,70.25,2023,183,11,,21.38413686,,,,
17.75,70.75,2023,183,10.9,,21.18973561,,,,
17.75,71.25,2023,183,10.69,,20.781493,,,,
17.75,71.75,2023,183,10.18,,19.79004666,,,,
17.75,72.25,2023,183,9.65,,18.75972006,,,,
17.75,72.75,2023,183,8.95,,17.39891135,,,,
17.75,73.25,2023,183,8.55,,16.62130638,,,,
18.25,69.75,2023,183,10.83,,21.05365474,,,,
18.25,70.25,2023,183,10.88,,21.15085537,,,,
18.25,70.75,2023,183,10.82,,21.03421462,,,,
18.25,71.25,2023,183,10.62,,20.64541213,,,,
18.25,71.75,2023,183,10.12,,19.67340591,,,,
18.25,72.25,2023,183,9.66,,18.77916019,,,,
18.25,72.75,2023,183,8.99,,17.47667185,,,,
18.25,73.25,2023,183,8.57,,16.66018663,,,,
18.75,69.75,2023,183,10.47,,20.35381026,,,,
18.75,70.25,2023,183,10.57,,20.54821151,,,,
18.75,70.75,2023,183,10.52,,20.45101089,,,,
18.75,71.25,2023,183,10.34,,20.10108865,,,,
18.75,71.75,2023,183,9.96,,19.36236392,,,,
18.75,72.25,2023,183,9.58,,18.62363919,,,,
18.75,72.75,2023,183,8.88,,17.26283048,,,,
18.75,73.25,2023,183,8.36,,16.25194401,,,,
19.25,69.75,2023,183,9.96,,19.36236392,,,,
19.25,70.25,2023,183,10.08,,19.59564541,,,,
19.25,70.75,2023,183,10.07,,19.57620529,,,,
19.25,71.25,2023,183,9.96,,19.36236392,,,,
19.25,71.75,2023,183,9.76,,18.97356143,,,,
19.25,72.25,2023,183,9.34,,18.15707621,,,,
19.25,72.75,2023,183,8.57,,16.66018663,,,,
19.25,73.25,2023,183,8.02,,15.59097978,,,,
12.75,69.75,2023,184,11.24,,21.85069984,19.92612753,Jul-03,1,23.38646967
12.75,70.25,2023,184,11.07,,21.52021773,,,,
12.75,70.75,2023,184,10.94,,21.26749611,,,,
12.75,71.25,2023,184,10.95,,21.28693624,,,,
12.75,71.75,2023,184,10.92,,21.22861586,,,,
12.75,72.25,2023,184,10.86,,21.11197512,,,,
12.75,72.75,2023,184,10.75,,20.89813375,,,,
12.75,73.25,2023,184,10.49,,20.39269051,,,,
13.25,69.75,2023,184,11.66,,22.66718507,,,,
13.25,70.25,2023,184,11.39,,22.14230171,,,,
13.25,70.75,2023,184,11.16,,21.69517885,,,,
13.25,71.25,2023,184,11.08,,21.53965785,,,,
13.25,71.75,2023,184,11.03,,21.44245723,,,,
13.25,72.25,2023,184,10.91,,21.20917574,,,,
13.25,72.75,2023,184,10.67,,20.74261275,,,,
13.25,73.25,2023,184,10.35,,20.12052877,,,,
13.75,69.75,2023,184,11.93,,23.19206843,,,,
13.75,70.25,2023,184,11.59,,22.5311042,,,,
13.75,70.75,2023,184,11.32,,22.00622084,,,,
13.75,71.25,2023,184,11.25,,21.87013997,,,,
13.75,71.75,2023,184,11.16,,21.69517885,,,,
13.75,72.25,2023,184,11.03,,21.44245723,,,,
13.75,72.75,2023,184,10.77,,20.937014,,,,
13.75,73.25,2023,184,10.44,,20.29548989,,,,
14.25,69.75,2023,184,12.03,,23.38646967,,,,
14.25,70.25,2023,184,11.66,,22.66718507,,,,
14.25,70.75,2023,184,11.39,,22.14230171,,,,
14.25,71.25,2023,184,11.33,,22.02566096,,,,
14.25,71.75,2023,184,11.22,,21.8118196,,,,
14.25,72.25,2023,184,11.11,,21.59797823,,,,
14.25,72.75,2023,184,10.8,,20.99533437,,,,
14.25,73.25,2023,184,10.33,,20.08164852,,,,
14.75,69.75,2023,184,11.96,,23.2503888,,,,
14.75,70.25,2023,184,11.61,,22.56998445,,,,
14.75,70.75,2023,184,11.36,,22.08398134,,,,
14.75,71.25,2023,184,11.27,,21.90902022,,,,
14.75,71.75,2023,184,11.18,,21.7340591,,,,
14.75,72.25,2023,184,11.09,,21.55909798,,,,
14.75,72.75,2023,184,10.74,,20.87869362,,,,
14.75,73.25,2023,184,9.98,,19.40124417,,,,
15.25,69.75,2023,184,11.7,,22.74494557,,,,
15.25,70.25,2023,184,11.43,,22.22006221,,,,
15.25,70.75,2023,184,11.23,,21.83125972,,,,
15.25,71.25,2023,184,11.09,,21.55909798,,,,
15.25,71.75,2023,184,11.04,,21.46189736,,,,
15.25,72.25,2023,184,10.97,,21.32581649,,,,
15.25,72.75,2023,184,10.64,,20.68429238,,,,
15.25,73.25,2023,184,9.81,,19.07076205,,,,
15.75,69.75,2023,184,11.39,,22.14230171,,,,
15.75,70.25,2023,184,11.2,,21.77293935,,,,
15.75,70.75,2023,184,11.05,,21.48133748,,,,
15.75,71.25,2023,184,10.92,,21.22861586,,,,
15.75,71.75,2023,184,10.92,,21.22861586,,,,
15.75,72.25,2023,184,10.91,,21.20917574,,,,
15.75,72.75,2023,184,10.57,,20.54821151,,,,
15.75,73.25,2023,184,9.77,,18.99300156,,,,
16.25,69.75,2023,184,11.13,,21.63685848,,,,
16.25,70.25,2023,184,11,,21.38413686,,,,
16.25,70.75,2023,184,10.92,,21.22861586,,,,
16.25,71.25,2023,184,10.86,,21.11197512,,,,
16.25,71.75,2023,184,10.87,,21.13141524,,,,
16.25,72.25,2023,184,10.9,,21.18973561,,,,
16.25,72.75,2023,184,10.42,,20.25660964,,,,
16.25,73.25,2023,184,9.54,,18.54587869,,,,
16.75,69.75,2023,184,10.91,,21.20917574,,,,
16.75,70.25,2023,184,10.82,,21.03421462,,,,
16.75,70.75,2023,184,10.81,,21.01477449,,,,
16.75,71.25,2023,184,10.77,,20.937014,,,,
16.75,71.75,2023,184,10.66,,20.72317263,,,,
16.75,72.25,2023,184,10.6,,20.60653188,,,,
16.75,72.75,2023,184,9.98,,19.40124417,,,,
16.75,73.25,2023,184,9.03,,17.55443235,,,,
17.25,69.75,2023,184,10.68,,20.76205288,,,,
17.25,70.25,2023,184,10.61,,20.62597201,,,,
17.25,70.75,2023,184,10.59,,20.58709176,,,,
17.25,71.25,2023,184,10.5,,20.41213064,,,,
17.25,71.75,2023,184,10.21,,19.84836703,,,,
17.25,72.25,2023,184,9.94,,19.32348367,,,,
17.25,72.75,2023,184,9.24,,17.96267496,,,,
17.25,73.25,2023,184,8.44,,16.40746501,,,,
17.75,69.75,2023,184,10.31,,20.04276827,,,,
17.75,70.25,2023,184,10.25,,19.92612753,,,,
17.75,70.75,2023,184,10.15,,19.73172628,,,,
17.75,71.25,2023,184,10.02,,19.47900467,,,,
17.75,71.75,2023,184,9.59,,18.64307932,,,,
17.75,72.25,2023,184,9.22,,17.92379471,,,,
17.75,72.75,2023,184,8.54,,16.60186625,,,,
17.75,73.25,2023,184,7.89,,15.33825816,,,,
18.25,69.75,2023,184,9.77,,18.99300156,,,,
18.25,70.25,2023,184,9.74,,18.93468118,,,,
18.25,70.75,2023,184,9.63,,18.72083981,,,,
18.25,71.25,2023,184,9.46,,18.3903577,,,,
18.25,71.75,2023,184,9.14,,17.76827372,,,,
18.25,72.25,2023,184,8.84,,17.18506998,,,,
18.25,72.75,2023,184,8.14,,15.82426128,,,,
18.25,73.25,2023,184,7.41,,14.40513219,,,,
18.75,69.75,2023,184,9.15,,17.78771384,,,,
18.75,70.25,2023,184,9.17,,17.82659409,,,,
18.75,70.75,2023,184,9.1,,17.69051322,,,,
18.75,71.25,2023,184,8.96,,17.41835148,,,,
18.75,71.75,2023,184,8.79,,17.08786936,,,,
18.75,72.25,2023,184,8.53,,16.58242613,,,,
18.75,72.75,2023,184,7.74,,15.0466563,,,,
18.75,73.25,2023,184,6.87,,13.35536547,,,,
19.25,69.75,2023,184,8.55,,16.62130638,,,,
19.25,70.25,2023,184,8.55,,16.62130638,,,,
19.25,70.75,2023,184,8.51,,16.54354588,,,,
19.25,71.25,2023,184,8.4,,16.32970451,,,,
19.25,71.75,2023,184,8.28,,16.09642302,,,,
19.25,72.25,2023,184,7.9,,15.35769829,,,,
19.25,72.75,2023,184,7.06,,13.72472784,,,,
19.25,73.25,2023,184,6.25,,12.15007776,,,,
12.75,69.75,2023,185,11.32,,22.00622084,20.91687958,Jul-04,1.5,28.05209953
12.75,70.25,2023,185,11.29,,21.94790047,,,,
12.75,70.75,2023,185,11.55,,22.4533437,,,,
12.75,71.25,2023,185,11.91,,23.15318818,,,,
12.75,71.75,2023,185,12.52,,24.33903577,,,,
12.75,72.25,2023,185,12.88,,25.03888025,,,,
12.75,72.75,2023,185,13,,25.27216174,,,,
12.75,73.25,2023,185,12.94,,25.155521,,,,
13.25,69.75,2023,185,11.4,,22.16174184,,,,
13.25,70.25,2023,185,11.48,,22.31726283,,,,
13.25,70.75,2023,185,11.82,,22.97822706,,,,
13.25,71.25,2023,185,12.25,,23.81415241,,,,
13.25,71.75,2023,185,12.96,,25.19440124,,,,
13.25,72.25,2023,185,13.44,,26.12752722,,,,
13.25,72.75,2023,185,13.7,,26.63297045,,,,
13.25,73.25,2023,185,13.76,,26.7496112,,,,
13.75,69.75,2023,185,11.38,,22.12286159,,,,
13.75,70.25,2023,185,11.56,,22.47278383,,,,
13.75,70.75,2023,185,12.02,,23.36702955,,,,
13.75,71.25,2023,185,12.53,,24.35847589,,,,
13.75,71.75,2023,185,13.31,,25.8748056,,,,
13.75,72.25,2023,185,13.95,,27.11897356,,,,
13.75,72.75,2023,185,14.36,,27.91601866,,,,
13.75,73.25,2023,185,14.43,,28.05209953,,,,
14.25,69.75,2023,185,11.36,,22.08398134,,,,
14.25,70.25,2023,185,11.54,,22.43390358,,,,
14.25,70.75,2023,185,11.99,,23.30870918,,,,
14.25,71.25,2023,185,12.46,,24.22239502,,,,
14.25,71.75,2023,185,13.24,,25.73872473,,,,
14.25,72.25,2023,185,13.8,,26.8273717,,,,
14.25,72.75,2023,185,14.12,,27.44945568,,,,
14.25,73.25,2023,185,14.05,,27.31337481,,,,
14.75,69.75,2023,185,11.36,,22.08398134,,,,
14.75,70.25,2023,185,11.34,,22.04510109,,,,
14.75,70.75,2023,185,11.53,,22.41446345,,,,
14.75,71.25,2023,185,11.88,,23.09486781,,,,
14.75,71.75,2023,185,12.43,,24.16407465,,,,
14.75,72.25,2023,185,12.73,,24.74727838,,,,
14.75,72.75,2023,185,12.85,,24.98055988,,,,
14.75,73.25,2023,185,12.59,,24.47511664,,,,
15.25,69.75,2023,185,11.31,,21.98678072,,,,
15.25,70.25,2023,185,11.08,,21.53965785,,,,
15.25,70.75,2023,185,10.96,,21.30637636,,,,
15.25,71.25,2023,185,11.07,,21.52021773,,,,
15.25,71.75,2023,185,11.43,,22.22006221,,,,
15.25,72.25,2023,185,11.71,,22.76438569,,,,
15.25,72.75,2023,185,11.88,,23.09486781,,,,
15.25,73.25,2023,185,11.58,,22.51166407,,,,
15.75,69.75,2023,185,11.18,,21.7340591,,,,
15.75,70.25,2023,185,10.92,,21.22861586,,,,
15.75,70.75,2023,185,10.67,,20.74261275,,,,
15.75,71.25,2023,185,10.53,,20.47045101,,,,
15.75,71.75,2023,185,10.92,,21.22861586,,,,
15.75,72.25,2023,185,11.36,,22.08398134,,,,
15.75,72.75,2023,185,11.64,,22.62830482,,,,
15.75,73.25,2023,185,11.25,,21.87013997,,,,
16.25,69.75,2023,185,11.01,,21.40357698,,,,
16.25,70.25,2023,185,10.81,,21.01477449,,,,
16.25,70.75,2023,185,10.59,,20.58709176,,,,
16.25,71.25,2023,185,10.36,,20.1399689,,,,
16.25,71.75,2023,185,10.73,,20.8592535,,,,
16.25,72.25,2023,185,11.18,,21.7340591,,,,
16.25,72.75,2023,185,11.36,,22.08398134,,,,
16.25,73.25,2023,185,10.78,,20.95645412,,,,
16.75,69.75,2023,185,10.8,,20.99533437,,,,
16.75,70.25,2023,185,10.66,,20.72317263,,,,
16.75,70.75,2023,185,10.48,,20.37325039,,,,
16.75,71.25,2023,185,10.25,,19.92612753,,,,
16.75,71.75,2023,185,10.45,,20.31493002,,,,
16.75,72.25,2023,185,10.79,,20.97589425,,,,
16.75,72.75,2023,185,10.78,,20.95645412,,,,
16.75,73.25,2023,185,10.1,,19.63452566,,,,
17.25,69.75,2023,185,10.5,,20.41213064,,,,
17.25,70.25,2023,185,10.38,,20.17884914,,,,
17.25,70.75,2023,185,10.2,,19.82892691,,,,
17.25,71.25,2023,185,9.99,,19.42068429,,,,
17.25,71.75,2023,185,10.06,,19.55676516,,,,
17.25,72.25,2023,185,10.22,,19.86780715,,,,
17.25,72.75,2023,185,9.83,,19.1096423,,,,
17.25,73.25,2023,185,8.96,,17.41835148,,,,
17.75,69.75,2023,185,10.11,,19.65396579,,,,
17.75,70.25,2023,185,10,,19.44012442,,,,
17.75,70.75,2023,185,9.81,,19.07076205,,,,
17.75,71.25,2023,185,9.56,,18.58475894,,,,
17.75,71.75,2023,185,9.59,,18.64307932,,,,
17.75,72.25,2023,185,9.52,,18.50699844,,,,
17.75,72.75,2023,185,8.84,,17.18506998,,,,
17.75,73.25,2023,185,7.87,,15.29937792,,,,
18.25,69.75,2023,185,9.63,,18.72083981,,,,
18.25,70.25,2023,185,9.51,,18.48755832,,,,
18.25,70.75,2023,185,9.31,,18.09875583,,,,
18.25,71.25,2023,185,9.05,,17.5933126,,,,
18.25,71.75,2023,185,9.01,,17.5155521,,,,
18.25,72.25,2023,185,8.82,,17.14618974,,,,
18.25,72.75,2023,185,8.04,,15.62986003,,,,
18.25,73.25,2023,185,7.05,,13.70528771,,,,
18.75,69.75,2023,185,9.01,,17.5155521,,,,
18.75,70.25,2023,185,8.92,,17.34059098,,,,
18.75,70.75,2023,185,8.8,,17.10730949,,,,
18.75,71.25,2023,185,8.65,,16.81570762,,,,
18.75,71.75,2023,185,8.51,,16.54354588,,,,
18.75,72.25,2023,185,8.28,,16.09642302,,,,
18.75,72.75,2023,185,7.32,,14.23017107,,,,
18.75,73.25,2023,185,6.11,,11.87791602,,,,
19.25,69.75,2023,185,8.42,,16.36858476,,,,
19.25,70.25,2023,185,8.45,,16.42690513,,,,
19.25,70.75,2023,185,8.46,,16.44634526,,,,
19.25,71.25,2023,185,8.39,,16.31026439,,,,
19.25,71.75,2023,185,8.22,,15.97978227,,,,
19.25,72.25,2023,185,7.81,,15.18273717,,,,
19.25,72.75,2023,185,6.73,,13.08320373,,,,
19.25,73.25,2023,185,5.49,,10.6726283,,,,
12.75,69.75,2023,186,12.76,,24.80559876,21.00626944,Jul-05,1.5,26.20528771
12.75,70.25,2023,186,13.14,,25.54432348,,,,
12.75,70.75,2023,186,13.43,,26.10808709,,,,
12.75,71.25,2023,186,13.48,,26.20528771,,,,
12.75,71.75,2023,186,13.05,,25.36936236,,,,
12.75,72.25,2023,186,12.92,,25.11664075,,,,
12.75,72.75,2023,186,12.81,,24.90279938,,,,
12.75,73.25,2023,186,12.7,,24.68895801,,,,
13.25,69.75,2023,186,12.49,,24.2807154,,,,
13.25,70.25,2023,186,12.6,,24.49455677,,,,
13.25,70.75,2023,186,12.7,,24.68895801,,,,
13.25,71.25,2023,186,12.67,,24.63063764,,,,
13.25,71.75,2023,186,12.56,,24.41679627,,,,
13.25,72.25,2023,186,12.69,,24.66951788,,,,
13.25,72.75,2023,186,12.83,,24.94167963,,,,
13.25,73.25,2023,186,12.9,,25.0777605,,,,
13.75,69.75,2023,186,12.31,,23.93079316,,,,
13.75,70.25,2023,186,12.28,,23.87247278,,,,
13.75,70.75,2023,186,12.24,,23.79471229,,,,
13.75,71.25,2023,186,12.15,,23.61975117,,,,
13.75,71.75,2023,186,12.22,,23.75583204,,,,
13.75,72.25,2023,186,12.37,,24.0474339,,,,
13.75,72.75,2023,186,12.49,,24.2807154,,,,
13.75,73.25,2023,186,12.52,,24.33903577,,,,
14.25,69.75,2023,186,12.28,,23.87247278,,,,
